['Yuki Desirie', 'POSITION: RW', 'OVERALL: 99']
['Woodrow Marigny', 'POSITION: RW', 'OVERALL: 99']
['Stevin Rodolfo', 'POSITION: RW', 'OVERALL: 99']
['Shruti Christobal', 'POSITION: LW', 'OVERALL: 99']
['Rasaan Karlesha', 'POSITION: RW', 'OVERALL: 99']
['Mairin Kaveh', 'POSITION: D', 'OVERALL: 99']
['Kia Kelleigh', 'POSITION: G', 'OVERALL: 99']
['Karla Charlee', 'POSITION: G', 'OVERALL: 99']
['Hosanna Millissa', 'POSITION: D', 'OVERALL: 99']
['Herbie Punam', 'POSITION: D', 'OVERALL: 99']
['Francico Ercia', 'POSITION: C', 'OVERALL: 99']
['Daneen Leshaun', 'POSITION: D', 'OVERALL: 99']
['Cloe Lovell', 'POSITION: RW', 'OVERALL: 99']
['Chauntae Vontrell', 'POSITION: C', 'OVERALL: 99']
['Chaise Andera', 'POSITION: G', 'OVERALL: 99']
['Cassi Randy', 'POSITION: RW', 'OVERALL: 99']
['Camden Kashira', 'POSITION: D', 'OVERALL: 99']
['Aniela Benita', 'POSITION: RW', 'OVERALL: 99']
['Alfonzo Karel', 'POSITION: G', 'OVERALL: 99']
['Yasser Tramell', 'POSITION: RW', 'OVERALL: 98']
['Rosangela Tiffanie', 'POSITION: D', 'OVERALL: 98']
['Philip Latricia', 'POSITION: RW', 'OVERALL: 98']
['Leonidas Tanera', 'POSITION: C', 'OVERALL: 98']
['Laurel So', 'POSITION: D', 'OVERALL: 98']
['Langdon Deacon', 'POSITION: D', 'OVERALL: 98']
['Kyra Kinard', 'POSITION: D', 'OVERALL: 98']
['Keric Pagan', 'POSITION: D', 'OVERALL: 98']
['Hugh Gautam', 'POSITION: D', 'OVERALL: 98']
['Giuseppe Thao', 'POSITION: D', 'OVERALL: 98']
['Felton Davion', 'POSITION: G', 'OVERALL: 98']
['Fausto Maurilio', 'POSITION: D', 'OVERALL: 98']
['Damesha Shoua', 'POSITION: RW', 'OVERALL: 98']
['Dalisa Alaa', 'POSITION: LW', 'OVERALL: 98']
['Alfonzo Charquita', 'POSITION: RW', 'OVERALL: 98']
['Aireal Kellon', 'POSITION: C', 'OVERALL: 98']
['Sybrina Minna', 'POSITION: G', 'OVERALL: 97']
['Shraga Azim', 'POSITION: D', 'OVERALL: 97']
['Shawna Mia', 'POSITION: D', 'OVERALL: 97']
['Shaneeka Lael', 'POSITION: RW', 'OVERALL: 97']
['Rondal Martiza', 'POSITION: LW', 'OVERALL: 97']
['Micael Roshell', 'POSITION: D', 'OVERALL: 97']
['Meshell Sharyn', 'POSITION: D', 'OVERALL: 97']
['Mendi Lavaris', 'POSITION: C', 'OVERALL: 97']
['Loredana Jordi', 'POSITION: G', 'OVERALL: 97']
['Lopaka Sherrese', 'POSITION: RW', 'OVERALL: 97']
['Lakaisha Tramell', 'POSITION: LW', 'OVERALL: 97']
['Keah Ereka', 'POSITION: C', 'OVERALL: 97']
['Kaven Tekesha', 'POSITION: D', 'OVERALL: 97']
['Jeanpierre Yolonda', 'POSITION: LW', 'OVERALL: 97']
['Jaimy Isla', 'POSITION: C', 'OVERALL: 97']
['Holland Quashon', 'POSITION: C', 'OVERALL: 97']
['Hoda Carlen', 'POSITION: D', 'OVERALL: 97']
['Harlin Indria', 'POSITION: RW', 'OVERALL: 97']
['Dawan Jamesha', 'POSITION: D', 'OVERALL: 97']
['Clarise Liesl', 'POSITION: G', 'OVERALL: 97']
['Beck Jawad', 'POSITION: G', 'OVERALL: 97']
['Aletha Mishell', 'POSITION: C', 'OVERALL: 97']
['Tiarra Kylan', 'POSITION: G', 'OVERALL: 96']
['Thurston Heber', 'POSITION: C', 'OVERALL: 96']
['Tashay Christella', 'POSITION: LW', 'OVERALL: 96']
['Regena Randal', 'POSITION: C', 'OVERALL: 96']
['Randell Jenifer', 'POSITION: C', 'OVERALL: 96']
['Nasya Tunisia', 'POSITION: G', 'OVERALL: 96']
['Marshon Jehna', 'POSITION: C', 'OVERALL: 96']
['Malin Mickelle', 'POSITION: D', 'OVERALL: 96']
['Maja Mohammed', 'POSITION: C', 'OVERALL: 96']
['Lucretia Bernard', 'POSITION: RW', 'OVERALL: 96']
['Klayton Adam', 'POSITION: G', 'OVERALL: 96']
['Develle Wilder', 'POSITION: C', 'OVERALL: 96']
['Chadae Kiwana', 'POSITION: D', 'OVERALL: 96']
['Awilda Gonzalo', 'POSITION: D', 'OVERALL: 96']
['Shaterica Taneeka', 'POSITION: D', 'OVERALL: 95']
['Shadia Revel', 'POSITION: RW', 'OVERALL: 95']
['Sakura Lenora', 'POSITION: D', 'OVERALL: 95']
['Raynard Nayeli', 'POSITION: C', 'OVERALL: 95']
['Leo Marykate', 'POSITION: C', 'OVERALL: 95']
['Lawton Dayon', 'POSITION: RW', 'OVERALL: 95']
['Latoshia Kaia', 'POSITION: RW', 'OVERALL: 95']
['Kiondra Rasheeda', 'POSITION: LW', 'OVERALL: 95']
['Isom Emilie', 'POSITION: C', 'OVERALL: 95']
['Idrees Isha', 'POSITION: C', 'OVERALL: 95']
['Guthrie Lus', 'POSITION: RW', 'OVERALL: 95']
['Demetrias Elidia', 'POSITION: G', 'OVERALL: 95']
['Cecila Shola', 'POSITION: RW', 'OVERALL: 95']
['Carie Vincient', 'POSITION: C', 'OVERALL: 95']
['Brison Blain', 'POSITION: LW', 'OVERALL: 95']
['Arch Sharise', 'POSITION: D', 'OVERALL: 95']
['Alvita Aftan', 'POSITION: C', 'OVERALL: 95']
['Venisha Jesiah', 'POSITION: G', 'OVERALL: 94']
['Theresia Maleaha', 'POSITION: RW', 'OVERALL: 94']
['Taci Tariq', 'POSITION: D', 'OVERALL: 94']
['Shelaine Drexel', 'POSITION: D', 'OVERALL: 94']
['Mayer Terrica', 'POSITION: D', 'OVERALL: 94']
['Lorne Roxan', 'POSITION: RW', 'OVERALL: 94']
['Latrenda Isom', 'POSITION: C', 'OVERALL: 94']
['Khrystal Shulem', 'POSITION: RW', 'OVERALL: 94']
['Jaylene Markiesha', 'POSITION: D', 'OVERALL: 94']
['Gabriell Keishia', 'POSITION: D', 'OVERALL: 94']
['Franco Krystyn', 'POSITION: G', 'OVERALL: 94']
['Darnelle Melchizedek', 'POSITION: D', 'OVERALL: 94']
['Darien Vidya', 'POSITION: LW', 'OVERALL: 94']
['Carissa Latorie', 'POSITION: D', 'OVERALL: 94']
['Therese Meosha', 'POSITION: RW', 'OVERALL: 93']
['Shatonna Bronwen', 'POSITION: G', 'OVERALL: 93']
['Rasheda Quisha', 'POSITION: D', 'OVERALL: 93']
['Lutisha Danniell', 'POSITION: RW', 'OVERALL: 93']
['Lucille Derrel', 'POSITION: C', 'OVERALL: 93']
['Kyoko Phong', 'POSITION: C', 'OVERALL: 93']
['Katelynn Shama', 'POSITION: G', 'OVERALL: 93']
['Jhonny Beena', 'POSITION: G', 'OVERALL: 93']
['Jasma Shekia', 'POSITION: G', 'OVERALL: 93']
['Fradel Shenise', 'POSITION: RW', 'OVERALL: 93']
['Faris Jeannette', 'POSITION: G', 'OVERALL: 93']
['Elena Mikal', 'POSITION: D', 'OVERALL: 93']
['Delrico Case', 'POSITION: D', 'OVERALL: 93']
['Davonda Americo', 'POSITION: D', 'OVERALL: 93']
['Cherylann Leesha', 'POSITION: RW', 'OVERALL: 93']
['Chanele Loreto', 'POSITION: LW', 'OVERALL: 93']
['Carrisa Mekos', 'POSITION: D', 'OVERALL: 93']
['Burl Lovina', 'POSITION: LW', 'OVERALL: 93']
['Beverly Yang', 'POSITION: D', 'OVERALL: 93']
['Alphonso Zandra', 'POSITION: RW', 'OVERALL: 93']
['Yasheka Angelita', 'POSITION: RW', 'OVERALL: 92']
['Trong Loryn', 'POSITION: D', 'OVERALL: 92']
['Tesla Calum', 'POSITION: C', 'OVERALL: 92']
['Suzie Peterson', 'POSITION: G', 'OVERALL: 92']
['Shamya Lamika', 'POSITION: LW', 'OVERALL: 92']
['Mariya Tikia', 'POSITION: D', 'OVERALL: 92']
['Latisa Lynde', 'POSITION: G', 'OVERALL: 92']
['Koji Hakan', 'POSITION: D', 'OVERALL: 92']
['Jessica Linae', 'POSITION: D', 'OVERALL: 92']
['Ferlando Koty', 'POSITION: LW', 'OVERALL: 92']
['Dionisios Jemma', 'POSITION: D', 'OVERALL: 92']
['Diaz Analise', 'POSITION: C', 'OVERALL: 92']
['Denorris Katrinna', 'POSITION: D', 'OVERALL: 92']
['Vasilis Alayne', 'POSITION: C', 'OVERALL: 91']
['Tylar Eleazar', 'POSITION: C', 'OVERALL: 91']
['Tocara Sunshine', 'POSITION: G', 'OVERALL: 91']
['Soo Zalmen', 'POSITION: C', 'OVERALL: 91']
['Romeka Shatoria', 'POSITION: RW', 'OVERALL: 91']
['Rashaun Tremika', 'POSITION: C', 'OVERALL: 91']
['Rakel Evander', 'POSITION: C', 'OVERALL: 91']
