['Arizona Coyotes', 'Aleshia Tynell', ' POSITION: D', ' OVERALL: 81']
['Arizona Coyotes', 'Baylie Johnetta', ' POSITION: LW', ' OVERALL: 82']
['Arizona Coyotes', 'Dimitrius Merry', ' POSITION: D', ' OVERALL: 86']
['Arizona Coyotes', 'Dionisios Jemma', ' POSITION: D', ' OVERALL: 92']
['Arizona Coyotes', 'Gaelen Meagen', ' POSITION: RW', ' OVERALL: 87']
['Arizona Coyotes', 'Harlin Indria', ' POSITION: RW', ' OVERALL: 97']
['Arizona Coyotes', 'Joseluis Tena', ' POSITION: LW', ' OVERALL: 91']
['Arizona Coyotes', 'Kila Shania', ' POSITION: C', ' OVERALL: 85']
['Arizona Coyotes', 'Maja Mohammed', ' POSITION: C', ' OVERALL: 96']
['Arizona Coyotes', 'San Laketra', ' POSITION: G', ' OVERALL: 85']
['Arizona Coyotes', 'Shraga Azim', ' POSITION: D', ' OVERALL: 97']
['Arizona Coyotes', 'Venisha Jesiah', ' POSITION: G', ' OVERALL: 94']
['Boston Bruins', 'Alixandra Kaylynn', ' POSITION: D', ' OVERALL: 83']
['Boston Bruins', 'Chassidy Larina', ' POSITION: G', ' OVERALL: 81']
['Boston Bruins', 'Chelia Herlinda', ' POSITION: RW', ' OVERALL: 81']
['Boston Bruins', 'Derrelle Lashara', ' POSITION: G', ' OVERALL: 90']
['Boston Bruins', 'Dorrell Takiya', ' POSITION: D', ' OVERALL: 79']
['Boston Bruins', 'Janel Florencio', ' POSITION: LW', ' OVERALL: 77']
['Boston Bruins', 'Linnette Riki', ' POSITION: C', ' OVERALL: 81']
['Boston Bruins', 'Mayer Terrica', ' POSITION: D', ' OVERALL: 94']
['Boston Bruins', 'Parish Kaysee', ' POSITION: D', ' OVERALL: 88']
['Boston Bruins', 'Roselle Hansen', ' POSITION: LW', ' OVERALL: 87']
['Boston Bruins', 'Soo Zalmen', ' POSITION: C', ' OVERALL: 91']
['Boston Bruins', 'Yasheka Angelita', ' POSITION: RW', ' OVERALL: 92']
['Buffalo Sabres', 'Alvita Aftan', ' POSITION: C', ' OVERALL: 95']
['Buffalo Sabres', 'Corvette Lakresha', ' POSITION: LW', ' OVERALL: 90']
['Buffalo Sabres', 'Dillon Tanishia', ' POSITION: RW', ' OVERALL: 84']
['Buffalo Sabres', 'Donald Chantry', ' POSITION: C', ' OVERALL: 83']
['Buffalo Sabres', 'Jheri Lehi', ' POSITION: D', ' OVERALL: 80']
['Buffalo Sabres', 'Kaira Dejan', ' POSITION: G', ' OVERALL: 83']
['Buffalo Sabres', 'Linsdey Karisha', ' POSITION: D', ' OVERALL: 84']
['Buffalo Sabres', 'Malin Mickelle', ' POSITION: D', ' OVERALL: 96']
['Buffalo Sabres', 'Maryam Chandell', ' POSITION: D', ' OVERALL: 90']
['Buffalo Sabres', 'Natricia Faye', ' POSITION: LW', ' OVERALL: 79']
['Buffalo Sabres', 'Suzie Peterson', ' POSITION: G', ' OVERALL: 92']
['Buffalo Sabres', 'Theresia Maleaha', ' POSITION: RW', ' OVERALL: 94']
['Calgary Flames', 'Abdulla Eriko', ' POSITION: D', ' OVERALL: 85']
['Calgary Flames', 'Carra Jillean', ' POSITION: D', ' OVERALL: 91']
['Calgary Flames', 'Guthrie Lus', ' POSITION: RW', ' OVERALL: 95']
['Calgary Flames', 'Hoda Carlen', ' POSITION: D', ' OVERALL: 97']
['Calgary Flames', 'Idrees Isha', ' POSITION: C', ' OVERALL: 95']
['Calgary Flames', 'Jasma Shekia', ' POSITION: G', ' OVERALL: 93']
['Calgary Flames', 'Karleen Merritt', ' POSITION: D', ' OVERALL: 80']
